Date,wf,mf,sf,IHT,IH,wfy,sqhdd1,dhdd1,dhdd13,hdd1t,Troloff,mx2,mn4,dcy,c7,cy,c
5/24/2011,0.970642056,0.223192407,0.500416191,0,0,0.965849858,0,-0.56,-0.175616,0,17.962592,46.52649,80.61198601,0,537.5877,519.2599,518.4573
5/25/2011,0.950674824,0.223192407,0.500416191,1,0,0.970642056,0,0,0,0,17.851481,50.94049,54.7981281,0,529.2798,518.4573,479.708
5/26/2011,0.961823283,0.223192407,0.500416191,0,-7.327541639,0.950674824,0,0,0,0,17.851481,43.80649,81.5730721,0,538.4424,479.708,509.6059
5/27/2011,0.945372575,0.223192407,0.500416191,0,0,0.961823283,0,0,0,0,18.221851,52.441,89.5745041,0,506.9664,509.6059,469.2144
5/28/2011,0.942252607,0.223192407,0.500416191,0,0,0.945372575,0,0,0,0,18.258888,49.06225,109.7199376,0,519.5628,469.2144,468.4461
5/29/2011,1,0.223192407,0.500416191,0,0,0.942252607,0,0,0,0,18.592222,55.225,159.3609594,0,559.9822,468.4461,504.1981
5/30/2011,0.965849858,0.223192407,0.500416191,0,0,1,0,0,0,0,18.481111,52.441,145.1841657,0,519.2599,504.1981,475.8771
5/31/2011,0.970642056,0.223192407,0.500416191,0,0,0.965849858,0,0,0,0,18.518148,54.89649,144.5900625,0,518.4573,475.8771,476.8117
6/1/2011,0.950674824,0.178846045,0.168926931,0,0,0.970642056,0,0,0,0,18.888518,76.61824,219.700782,0,479.708,476.8117,463.8006
6/2/2011,0.961823283,0.178846045,0.168926931,0,0,0.950674824,0,0,0,0,18.184814,52.34944,80.61198601,0,509.6059,463.8006,441.2349
6/3/2011,0.945372575,0.178846045,0.168926931,0,0,0.961823283,0,0,0,0,18.221851,48.09249,109.7199376,0,469.2144,441.2349,447.4975
6/4/2011,0.942252607,0.178846045,0.168926931,0,0,0.945372575,0,0,0,0,18.184814,47.089,104.510217,0,468.4461,447.4975,457.2732
6/5/2011,1,0.178846045,0.168926931,0,0,0.942252607,0,0,0,0,18.332962,51.21169,113.382042,0,504.1981,457.2732,496.8093
6/6/2011,0.965849858,0.178846045,0.168926931,0,0,1,0,0,0,0,18.295925,59.14624,71.46131901,0,475.8771,496.8093,455.9877
6/7/2011,0.970642056,0.178846045,0.168926931,0,0,0.965849858,0,0,0,0,17.888518,50.85025,55.95325317,0,476.8117,455.9877,451.4097
6/8/2011,0.950674824,0.178846045,0.168926931,0,0,0.970642056,0,0,0,0,18.592222,58.32225,143.9977845,0,463.8006,451.4097,470.2689
6/9/2011,0.961823283,0.178846045,0.168926931,0,0,0.950674824,0,0,0,0,18.74037,67.081,169.8181681,0,441.2349,470.2689,461.9958
6/10/2011,0.945372575,0.178846045,0.168926931,0,0,0.961823283,0,0,0,0,18.666296,68.121,118.4065305,0,447.4975,461.9958,450.2777
6/11/2011,0.942252607,0.178846045,0.168926931,0,0,0.945372575,0,0,0,0,18.332962,52.07524,106.6185103,0,457.2732,450.2777,447.5671
6/12/2011,1,0.178846045,0.168926931,0,0,0.942252607,0,0,0,0,18.444074,52.67025,128.4110674,0,496.8093,447.5671,478.1091
6/13/2011,0.965849858,0.178846045,0.168926931,0,0,1,0,0,0,0,18.37,52.34944,112.1513121,0,455.9877,478.1091,456.0837
6/14/2011,0.970642056,0.178846045,0.168926931,0,0,0.965849858,0,0,0,0,17.962592,39.204,119.6883216,0,451.4097,456.0837,463.5822
6/15/2011,0.950674824,0.178846045,0.168926931,0,0,0.970642056,0,0,0,0,18.74037,64.009,187.8983216,0,470.2689,463.5822,460.1309
6/16/2011,0.961823283,0.178846045,0.168926931,0,0,0.950674824,0,0,0,0,18.74037,68.644,159.3609594,0,461.9958,460.1309,445.7155
6/17/2011,0.945372575,0.178846045,0.168926931,0,0,0.961823283,0,0,0,0,18.814444,69.169,199.3416222,0,450.2777,445.7155,401.2268
6/18/2011,0.942252607,0.178846045,0.168926931,0,0,0.945372575,0,0,0,0,18.888518,74.96644,230.0257521,0,447.5671,401.2268,399.774
6/19/2011,1,0.178846045,0.168926931,0,0,0.942252607,0,0,0,0,18.777407,66.20329,188.983652,0,478.1091,399.774,437.1604
6/20/2011,0.965849858,0.178846045,0.168926931,0,0,1,0,0,0,0,18.481111,50.31049,161.60601,0,456.0837,437.1604,432.5087
